,symbol,D_OPEN,D_HIGH,D_LOW,price,D_MAX,D_MIN,D_C_MAX,D_C_MIN,PCT,D_CHANGE
183,ADAUSDT,0.2869,0.3795,0.2753,0.3037,32.276,-4.043,-19.974,10.316,27.26,5.856
55,KAVAUSDT,0.9669,1.0762,0.855,0.8644,11.304,-11.573,-19.68,1.099,4.25,-10.601
97,BANDUSDT,1.2703,1.492,1.1551,1.2003,17.453,-9.069,-19.551,3.913,13.42,-5.511
102,NEOUSDT,9.557,10.773,8.488,8.667,12.724,-11.186,-19.549,2.109,7.83,-9.313
178,SUIUSDT,0.6884,0.7844,0.6001,0.6315,13.945,-12.827,-19.493,5.232,17.04,-8.266
61,MATICUSDT,0.6611,0.894,0.647,0.7209,35.229,-2.133,-19.362,11.422,29.92,9.046
16,FLMUSDT,0.0686,0.0798,0.0623,0.0645,16.327,-9.184,-19.173,3.531,12.57,-5.977
162,LPTUSDT,4.804,5.052,3.922,4.085,5.162,-18.36,-19.141,4.156,14.42,-14.967
72,ZRXUSDT,0.2128,0.2544,0.1942,0.2058,19.549,-8.741,-19.104,5.973,19.27,-3.289
176,ACHUSDT,0.02005,0.02161,0.01682,0.01749,7.781,-16.11,-19.065,3.983,13.99,-12.768
106,BELUSDT,0.6586,0.7958,0.62,0.6443,20.832,-5.861,-19.037,3.919,13.82,-2.171
105,DARUSDT,0.1062,0.1217,0.095,0.0986,14.595,-10.546,-18.981,3.789,13.48,-7.156
15,CHRUSDT,0.129,0.1368,0.1093,0.111,6.047,-15.271,-18.86,1.555,6.18,-13.953
144,ONEUSDT,0.01277,0.01434,0.01136,0.01164,12.294,-11.042,-18.828,2.465,9.4,-8.849
70,AVAXUSDT,13.025,15.999,12.18,12.988,22.833,-6.488,-18.82,6.634,21.16,-0.284
133,RLCUSDT,1.3259,1.4058,1.1263,1.1436,6.026,-15.054,-18.651,1.536,6.19,-13.749
107,DASHUSDT,37.75,39.39,31.21,32.08,4.344,-17.325,-18.558,2.788,10.64,-15.02
110,DENTUSDT,0.000796,0.000868,0.00067,0.000707,9.045,-15.829,-18.548,5.522,18.69,-11.181
89,SUSHIUSDT,0.6886,0.8149,0.6086,0.6639,18.342,-11.618,-18.53,9.086,26.81,-3.587
13,RENUSDT,0.06365,0.07547,0.05708,0.06152,18.57,-10.322,-18.484,7.779,24.14,-3.346
115,INJUSDT,8.02,9.962,7.764,8.124,24.214,-3.192,-18.45,4.637,16.38,1.297
177,STGUSDT,0.5738,0.72,0.5605,0.5872,25.479,-2.318,-18.444,4.764,16.74,2.335
167,COTIUSDT,0.05144,0.0593,0.04714,0.04842,15.28,-8.359,-18.347,2.715,10.53,-5.871
22,LINAUSDT,0.01368,0.01529,0.01199,0.0125,11.769,-12.354,-18.247,4.254,15.45,-8.626
1,DGBUSDT,0.00729,0.00935,0.00706,0.00767,28.258,-3.155,-17.968,8.64,26.64,5.213
83,ARPAUSDT,0.05451,0.05767,0.04507,0.04738,5.797,-17.318,-17.843,5.125,18.33,-13.08
60,FETUSDT,0.227,0.2561,0.208,0.2106,12.819,-8.37,-17.766,1.25,5.41,-7.225
20,OMGUSDT,0.6576,0.7156,0.5532,0.5889,8.82,-15.876,-17.705,6.453,21.98,-10.447
119,GMXUSDT,55.74,61.85,49.12,51.1,10.962,-11.877,-17.381,4.031,15.55,-8.324
32,MAGICUSDT,0.8722,0.8853,0.7156,0.7315,1.502,-17.955,-17.373,2.222,9.37,-16.132
165,PERPUSDT,0.5387,0.5781,0.455,0.4777,7.314,-15.537,-17.367,4.989,18.44,-11.324
127,KSMUSDT,25.24,27.38,21.8,22.64,8.479,-13.629,-17.312,3.853,15.05,-10.301
77,UNFIUSDT,3.359,3.755,3.003,3.118,11.789,-10.598,-16.964,3.83,15.29,-7.175
129,CRVUSDT,0.76,0.879,0.71,0.73,15.658,-6.579,-16.951,2.817,11.83,-3.947
71,HFTUSDT,0.3779,0.3989,0.3227,0.3322,5.557,-14.607,-16.721,2.944,12.47,-12.093
12,LUNA2USDT,0.628,0.7372,0.555,0.6147,17.389,-11.624,-16.617,10.757,32.77,-2.118
108,MKRUSDT,831.0,1252.6,800.6,1047.7,50.734,-3.658,-16.358,30.864,54.67,26.077
19,ZILUSDT,0.02101,0.02491,0.01951,0.02085,18.563,-7.139,-16.299,6.868,24.81,-0.762
95,ALGOUSDT,0.1216,0.1304,0.1025,0.1093,7.237,-15.707,-16.181,6.634,24.37,-10.115
154,JASMYUSDT,0.004174,0.004416,0.003541,0.003712,5.798,-15.165,-15.942,4.829,19.54,-11.069
124,WLDUSDT,2.6478,2.6557,2.164,2.2325,0.298,-18.272,-15.936,3.165,13.93,-15.685
27,MINAUSDT,0.4862,0.525,0.4269,0.4418,7.98,-12.197,-15.848,3.49,15.19,-9.132
85,HBARUSDT,0.0506,0.06171,0.0455,0.05193,21.957,-10.079,-15.848,14.132,39.67,2.628
44,DUSKUSDT,0.12122,0.1487,0.11156,0.12516,22.67,-7.969,-15.831,12.191,36.62,3.25
48,NKNUSDT,0.09728,0.11049,0.08814,0.093,13.579,-9.396,-15.829,5.514,21.74,-4.4
5,TUSDT,0.02252,0.02746,0.02149,0.02315,21.936,-4.574,-15.696,7.725,27.81,2.798
68,API3USDT,1.053,1.174,0.959,0.99,11.491,-8.927,-15.673,3.233,14.42,-5.983
155,CKBUSDT,0.002945,0.003229,0.002694,0.002726,9.643,-8.523,-15.578,1.188,5.98,-7.436
57,OCEANUSDT,0.3227,0.4139,0.31,0.3507,28.262,-3.936,-15.269,13.129,39.17,8.677
4,GALAUSDT,0.02456,0.02889,0.023,0.02448,17.63,-6.352,-15.265,6.435,25.13,-0.326
51,HOTUSDT,0.001371,0.001469,0.001206,0.001246,7.148,-12.035,-15.18,3.317,15.21,-9.117
2,EGLDUSDT,34.89,38.1,30.84,32.32,9.2,-11.608,-15.171,4.799,20.39,-7.366
123,BNXUSDT,0.2636,0.2848,0.2287,0.2419,8.042,-13.24,-15.063,5.772,23.53,-8.232
149,TLMUSDT,0.0115,0.01256,0.01022,0.01067,9.217,-11.13,-15.048,4.403,19.23,-7.217
23,SFPUSDT,0.4635,0.4899,0.414,0.4185,5.696,-10.68,-14.574,1.087,5.93,-9.709
163,FXSUSDT,5.834,6.937,5.75,5.926,18.906,-1.44,-14.574,3.061,14.83,1.577
86,SNXUSDT,2.291,3.309,1.975,2.831,44.435,-13.793,-14.445,43.342,64.17,23.57
157,BLZUSDT,0.05736,0.06413,0.05289,0.05494,11.803,-7.793,-14.33,3.876,18.24,-4.219
78,LRCUSDT,0.2312,0.2551,0.2155,0.2186,10.337,-6.791,-14.308,1.439,7.83,-5.45
150,ONTUSDT,0.2043,0.2273,0.1825,0.1948,11.258,-10.671,-14.298,6.74,27.46,-4.65
168,APTUSDT,7.244,8.33,6.798,7.146,14.992,-6.157,-14.214,5.119,22.72,-1.353
172,AUDIOUSDT,0.1828,0.2099,0.1723,0.1801,14.825,-5.744,-14.197,4.527,20.74,-1.477
173,TRXUSDT,0.07613,0.09409,0.07519,0.08077,23.591,-1.235,-14.157,7.421,29.52,6.095
166,NMRUSDT,13.36,14.64,12.38,12.58,9.581,-7.335,-14.071,1.616,8.85,-5.838
185,NEARUSDT,1.385,1.607,1.284,1.386,16.029,-7.292,-13.752,7.944,31.58,0.072
140,MANAUSDT,0.3847,0.4482,0.3661,0.3866,16.506,-4.835,-13.744,5.6,24.97,0.494
181,KLAYUSDT,0.1644,0.1869,0.1574,0.1617,13.686,-4.258,-13.483,2.732,14.58,-1.642
174,GTCUSDT,1.151,1.203,0.849,1.041,4.518,-26.238,-13.466,22.615,54.24,-9.557
136,RUNEUSDT,1.031,1.107,0.933,0.958,7.371,-9.505,-13.46,2.68,14.37,-7.081
125,XVSUSDT,4.127,5.026,3.955,4.351,21.783,-4.168,-13.43,10.013,36.97,5.428
59,ICXUSDT,0.211,0.253,0.206,0.2192,19.905,-2.37,-13.36,6.408,28.09,3.886
8,SPELLUSDT,0.0004776,0.0005317,0.0004404,0.0004614,11.327,-7.789,-13.222,4.768,23.0,-3.392
66,RADUSDT,1.64,1.758,1.504,1.533,7.195,-8.293,-12.799,1.928,11.42,-6.524
24,PEOPLEUSDT,0.01338,0.01462,0.01218,0.01275,9.268,-8.969,-12.791,4.68,23.36,-4.709
31,YFIUSDT,6640.0,7490.0,6341.0,6532.0,12.801,-4.503,-12.79,3.012,16.62,-1.627
25,VETUSDT,0.0197,0.02125,0.01786,0.01854,7.868,-9.34,-12.753,3.807,20.06,-5.888
92,ATOMUSDT,9.281,10.293,8.8,8.982,10.904,-5.183,-12.737,2.068,12.19,-3.222
75,ARBUSDT,1.1635,1.3499,1.055,1.18,16.021,-9.325,-12.586,11.848,42.39,1.418
82,MASKUSDT,3.436,4.152,3.249,3.637,20.838,-5.442,-12.404,11.942,42.97,5.85
0,SANDUSDT,0.4187,0.4862,0.3958,0.4262,16.121,-5.469,-12.341,7.681,33.63,1.791
46,ENJUSDT,0.2969,0.344,0.279,0.3018,15.864,-6.029,-12.267,8.172,35.08,1.65
81,IOTXUSDT,0.02001,0.02179,0.01837,0.01913,8.896,-8.196,-12.207,4.137,22.22,-4.398
175,BATUSDT,0.1996,0.2247,0.1826,0.1978,12.575,-8.517,-11.972,8.324,36.1,-0.902
88,ENSUSDT,9.266,10.465,8.666,9.235,12.94,-6.475,-11.753,6.566,31.63,-0.335
139,XTZUSDT,0.806,0.923,0.769,0.815,14.516,-4.591,-11.701,5.982,29.87,1.117
179,ICPUSDT,4.094,4.567,3.887,4.034,11.553,-5.056,-11.671,3.782,21.62,-1.466
54,ZECUSDT,33.77,34.71,27.4,30.66,2.784,-18.863,-11.668,11.898,44.6,-9.209
96,IMXUSDT,0.7431,0.7998,0.6704,0.7097,7.63,-9.783,-11.265,5.862,30.37,-4.495
38,UMAUSDT,1.602,1.763,1.52,1.567,10.05,-5.119,-11.117,3.092,19.34,-2.185
84,ANTUSDT,4.009,4.489,3.817,3.993,11.973,-4.789,-11.049,4.611,26.19,-0.399
45,SKLUSDT,0.02812,0.03026,0.02604,0.02693,7.61,-7.397,-11.005,3.418,21.09,-4.232
6,AXSUSDT,5.952,6.891,5.602,6.148,15.776,-5.88,-10.782,9.747,42.36,3.293
137,ANKRUSDT,0.02298,0.02774,0.0222,0.02475,20.714,-3.394,-10.779,11.486,46.03,7.702
132,FILUSDT,3.946,4.949,3.901,4.419,25.418,-1.14,-10.709,13.279,49.43,11.987
9,EOSUSDT,0.751,0.835,0.69,0.746,11.185,-8.123,-10.659,8.116,38.62,-0.666
40,LINKUSDT,6.31,8.48,6.007,7.596,34.39,-4.802,-10.425,26.452,64.25,20.38
134,ALPHAUSDT,0.10743,0.1124,0.09488,0.10094,4.626,-11.682,-10.196,6.387,34.59,-6.041
62,BALUSDT,4.831,5.058,4.296,4.543,4.699,-11.074,-10.182,5.75,32.41,-5.961
63,IOSTUSDT,0.008451,0.009564,0.008036,0.008613,13.17,-4.911,-9.944,7.18,37.76,1.917
35,DOTUSDT,5.176,5.742,4.968,5.172,10.935,-4.019,-9.927,4.106,26.36,-0.077
11,DYDXUSDT,2.066,2.31,1.754,2.082,11.81,-15.102,-9.87,18.7,58.99,0.774
152,LITUSDT,0.704,0.785,0.664,0.708,11.506,-5.682,-9.809,6.627,36.36,0.568
146,CHZUSDT,0.07561,0.08531,0.07234,0.07702,12.829,-4.325,-9.718,6.469,36.08,1.865
116,RDNTUSDT,0.293,0.3331,0.2606,0.3008,13.686,-11.058,-9.697,15.426,55.45,2.662
